Name,Overall Score,Miles,Duration,Highway %,City %,Idle Time,Idling %,Idling Score,Speeding Score,Highway 1-5 %,Highway 6-10 %,Highway 11-14 %,Highway 15+ %,Highway Score,City 1-5 %,City 6-10 %,City 11-14 %,City 15+ %,City Score,Acceleration,Braking,Aggression Score
CHJG,90.2,3329.4,123:00:00,0,0,47:35:00,38.7,61.3,100,0,0,0,0,100,0,0,0,0,100,1,0,99.4
LRCO,90.3,1240.9,53:44:00,0,0,15:08,28.2,71.8,100,0,0,0,0,100,0,0,0,0,100,3,2,89.5
TAYX,90.4,2209.1,99:48:00,0,0,36:55:00,37,63,100,0,0,0,0,100,0,0,0,0,100,0,1,98.4
YYVM,90.4,589.8,40:43:00,0,0,15:42,38.6,61.4,100,0,0,0,0,100,0,0,0,0,100,0,0,100
ZGWB,90.5,1553.1,68:31:00,0,0,25:02:00,36.5,63.5,100,0,0,0,0,100,0,0,0,0,100,1,0,98.7
BPFD,90.6,3536.2,119:31:00,0,0,40:21:00,33.8,66.2,100,0,0,0,0,100,0,0,0,0,100,0,4,96
REYB,90.6,1816.9,78:19:00,0,0,28:40:00,36.6,63.4,100,0,0,0,0,100,0,0,0,0,100,1,0,98.9
VETK,90.8,1890.4,78:46:00,0,0,29:05:00,36.9,63.1,100,0,0,0,0,100,0,0,0,0,100,0,0,100
APHE,90.8,2091.2,87:42:00,0,0,32:13:00,36.7,63.3,100,0,0,0,0,100,0,0,0,0,100,0,0,100
WCXL,90.9,802.1,35:54:00,0,0,13:05,36.4,63.6,100,0,0,0,0,100,0,0,0,0,100,0,0,100
HONO,90.9,1662.8,83:50:00,0,0,30:33:00,36.4,63.6,100,0,0,0,0,100,0,0,0,0,100,0,0,100
UPLV,90.9,941.9,65:53:00,0,0,23:57,36.4,63.6,100,0,0,0,0,100,0,0,0,0,100,0,0,100
QNQM,90.9,733.8,47:44:00,0,0,17:17,36.2,63.8,100,0,0,0,0,100,0,0,0,0,100,0,0,100
TMNI,91,2365.4,78:21:00,0,0,27:02:00,34.5,65.5,100,0,0,0,0,100,0,0,0,0,100,0,1,98.5
UTIA,91,2669.1,84:13:00,0,0,30:16:00,35.9,64.1,100,0,0,0,0,100,0,0,0,0,100,0,0,100
FPFJ,91.1,703.2,27:14:00,0,0,9:40,35.5,64.5,100,0,0,0,0,100,0,0,0,0,100,0,0,100
MGCH,91.1,1034.2,65:39:00,0,0,23:16,35.4,64.6,100,0,0,0,0,100,0,0,0,0,100,0,0,100
PTSB,91.2,1771,73:57:00,0,0,23:48,32.2,67.8,100,0,0,0,0,100,0,0,0,0,100,1,1,96.9
BDTU,91.3,2008.4,99:29:00,0,0,32:03:00,32.2,67.8,100,0,0,0,0,100,0,0,0,0,100,1,1,97.3
ENTP,91.3,1988,86:54:00,0,0,28:50:00,33.2,66.8,100,0,0,0,0,100,0,0,0,0,100,0,1,98.2
XMVM,91.3,1195.3,54:44:00,0,0,15:53,29,71,100,0,0,0,0,100,0,0,0,0,100,0,2,94.1
KMUE,91.3,2483.6,104:11:00,0,0,34:45:00,33.4,66.6,100,0,0,0,0,100,0,0,0,0,100,0,1,98.6
WYEQ,91.4,1028.9,56:12:00,0,0,19:20,34.4,65.6,100,0,0,0,0,100,0,0,0,0,100,0,0,100
OHDF,91.5,1655.8,63:56:00,0,0,20:28,32,68,100,0,0,0,0,100,0,0,0,0,100,0,1,97.9
KUQI,91.5,1496,64:04:00,0,0,20:10,31.5,68.5,100,0,0,0,0,100,0,0,0,0,100,0,1,97.7
SUZY,91.6,1183.9,77:08:00,0,0,22:29,29.1,70.9,100,0,0,0,0,100,0,0,0,0,100,1,1,95.4
UNBG,91.6,1528.3,66:57:00,0,0,22:34,33.7,66.3,100,0,0,0,0,100,0,0,0,0,100,0,0,100
EIWR,91.6,1211.6,56:20:00,0,0,18:56,33.6,66.4,100,0,0,0,0,100,0,0,0,0,100,0,0,100
OPVS,91.6,997,43:20:00,0,0,12:59,30,70,100,0,0,0,0,100,0,0,0,0,100,0,1,96.5
FZLJ,91.7,1706.1,78:52:00,0,0,26:20:00,33.4,66.6,100,0,0,0,0,100,0,0,0,0,100,0,0,100
